timestamp,service,p99_latency_ms,error_rate_pct,request_count,error_count,active_connections,max_connections,cache_hit_ratio
2026-07-04T00:00:00Z,checkout-api,282,0.0,8,0,118,200,0.938
2026-07-04T00:05:00Z,checkout-api,372,0.0,12,0,123,200,0.944
2026-07-04T00:10:00Z,checkout-api,354,0.0,14,0,117,200,0.94
2026-07-04T00:15:00Z,checkout-api,339,0.0,12,0,118,200,0.958
2026-07-04T00:20:00Z,checkout-api,304,0.0,7,0,119,200,0.958
2026-07-04T00:25:00Z,checkout-api,367,0.0,8,0,119,200,0.944
2026-07-04T00:30:00Z,checkout-api,384,10.0,10,1,123,200,0.957
2026-07-04T00:35:00Z,checkout-api,313,14.286,7,1,115,200,0.951
2026-07-04T00:40:00Z,checkout-api,356,0.0,11,0,122,200,0.944
2026-07-04T00:45:00Z,checkout-api,351,0.0,10,0,121,200,0.952
2026-07-04T00:50:00Z,checkout-api,289,0.0,7,0,113,200,0.968
2026-07-04T00:55:00Z,checkout-api,366,0.0,13,0,113,200,0.959
2026-07-04T01:00:00Z,checkout-api,234,0.0,7,0,117,200,0.954
2026-07-04T01:05:00Z,checkout-api,390,0.0,9,0,113,200,0.963
2026-07-04T01:10:00Z,checkout-api,295,0.0,15,0,119,200,0.945
2026-07-04T01:15:00Z,checkout-api,295,0.0,3,0,123,200,0.947
2026-07-04T01:20:00Z,checkout-api,318,0.0,16,0,122,200,0.96
2026-07-04T01:25:00Z,checkout-api,283,0.0,16,0,113,200,0.948
2026-07-04T01:30:00Z,checkout-api,334,0.0,8,0,122,200,0.934
2026-07-04T01:35:00Z,checkout-api,311,0.0,8,0,123,200,0.955
2026-07-04T01:40:00Z,checkout-api,381,0.0,6,0,121,200,0.953
2026-07-04T01:45:00Z,checkout-api,324,0.0,9,0,113,200,0.939
2026-07-04T01:50:00Z,checkout-api,257,0.0,4,0,114,200,0.957
2026-07-04T01:55:00Z,checkout-api,361,0.0,9,0,121,200,0.968
2026-07-04T02:00:00Z,checkout-api,340,0.0,10,0,113,200,0.938
2026-07-04T02:05:00Z,checkout-api,272,0.0,8,0,118,200,0.956
2026-07-04T02:10:00Z,checkout-api,332,0.0,5,0,123,200,0.945
2026-07-04T02:15:00Z,checkout-api,294,0.0,10,0,120,200,0.94
2026-07-04T02:20:00Z,checkout-api,258,0.0,4,0,117,200,0.957
2026-07-04T02:25:00Z,checkout-api,308,0.0,15,0,116,200,0.961
2026-07-04T02:30:00Z,checkout-api,277,0.0,11,0,119,200,0.962
2026-07-04T02:35:00Z,checkout-api,385,0.0,13,0,113,200,0.945
2026-07-04T02:40:00Z,checkout-api,319,0.0,8,0,123,200,0.937
2026-07-04T02:45:00Z,checkout-api,364,0.0,7,0,119,200,0.955
2026-07-04T02:50:00Z,checkout-api,373,0.0,8,0,117,200,0.958
2026-07-04T02:55:00Z,checkout-api,317,0.0,12,0,122,200,0.943
2026-07-04T03:00:00Z,checkout-api,294,0.0,9,0,116,200,0.941
2026-07-04T03:05:00Z,checkout-api,359,0.0,7,0,114,200,0.958
2026-07-04T03:10:00Z,checkout-api,287,0.0,8,0,121,200,0.957
2026-07-04T03:15:00Z,checkout-api,391,0.0,5,0,121,200,0.934
2026-07-04T03:20:00Z,checkout-api,330,0.0,13,0,120,200,0.955
2026-07-04T03:25:00Z,checkout-api,314,0.0,11,0,116,200,0.954
2026-07-04T03:30:00Z,checkout-api,330,0.0,12,0,117,200,0.947
2026-07-04T03:35:00Z,checkout-api,337,0.0,7,0,121,200,0.948
2026-07-04T03:40:00Z,checkout-api,316,0.0,7,0,113,200,0.944
2026-07-04T03:45:00Z,checkout-api,361,0.0,11,0,114,200,0.943
2026-07-04T03:50:00Z,checkout-api,327,0.0,16,0,122,200,0.941
2026-07-04T03:55:00Z,checkout-api,304,0.0,9,0,116,200,0.951
2026-07-04T04:00:00Z,checkout-api,281,0.0,8,0,123,200,0.961
2026-07-04T04:05:00Z,checkout-api,340,0.0,10,0,119,200,0.953
2026-07-04T04:10:00Z,checkout-api,464,0.0,10,0,113,200,0.947
2026-07-04T04:15:00Z,checkout-api,345,9.091,11,1,114,200,0.943
2026-07-04T04:20:00Z,checkout-api,317,0.0,7,0,123,200,0.947
